title,rating_count,console,genres,average_rating
Army Men - Sarge'S War,32,ps2,Action| Shooter,4.06
Army Men - Soldiers Of Misfortune,39,ps2,Action,4.56
Army Men - Team Assault,58,ps_one,Action| Shooter,4.71
Army Men - World War,90,ps_one,Action| Shooter,4.48
Army Men - World War - Final Front,40,ps_one,Action| Strategy,4.53
Army Men - World War - Land Sea & Air,67,ps_one,Strategy,4.61
Army Men - World War - Team Assault,54,ps_one,Action| Shooter,4.65
Army Men 3D,283,ps_one,Action,4.593957597173145
Arnold Palmer Tournament Golf,9,sega_megadrive,Sports,5.0
Arrow Flash,45,sega_megadrive,Shoot Em Up,4.623333333333333
Art Alive,7,sega_megadrive,Educational,4.86
Art Camion - Sugorokuden,20,ps_one,Driving/Racing| Trivia/Board Game,4.7
Art Of Fighting,103,super_nintendo|sega_megadrive,Action| Fighting,4.623106796116504
Art Of Fighting Anthology,139,ps2,Fighting| Compilation,4.541438848920863
Artelius,11,nes,Role-Playing| Shooter,4.0
Arthur And The Minimoys,34,ps2,Action-Adventure,4.38
Asameshimae Nyanko,5,super_nintendo,Trivia/Board Game| Puzzle,4.8
Ascii Entertainment Demo Cd,4,ps_one,Puzzle,5.0
Asmik-Kun Land,14,nes,Action| Platformer,4.21
Aso - Armored Scrum Object,24,nes,Shooter,3.7900000000000005
Assault,21,ps_one,Shooter,4.38
Assault Retribution,55,ps_one,Action,4.6
Assault Rigs,40,ps_one|sega_saturn,Action,4.725499999999999
Assault Suits Valken,81,super_nintendo|ps2,Action,4.61679012345679
Astal,211,sega_saturn,Action| Platformer,4.64
Asterix,107,super_nintendo|nes,Platformer|Action| Platformer,4.3865420560747665
Asterix & Obelix,83,super_nintendo,Action| Platformer,4.4
Asterix & Obelix - Kick Buttix,74,ps2,Action| Driving/Racing,4.41
Asterix & Obelix Xxl,146,ps2,Action| Platformer,4.53
Asterix & Obelix Xxl 2,149,ps2,Action| Platformer,4.299664429530202
Asterix And Obelix Take On Caesar,51,ps_one,Action| Adventure,4.49
Asterix And The Great Rescue,48,sega_megadrive,Action| Strategy| Platformer,4.105625
Asterix And The Power Of The Gods,21,sega_megadrive,Action,4.521428571428571
Asterix At The Olympic Games,82,ps2,Action| Sports| Track & Field,4.61
Asterix Mega Madness,228,ps_one,Action| Sports| Driving/Racing,4.476535087719299
Asteroids Hyper 64,18,n64,Action| Shooter,4.39
Astra Superstars,21,sega_saturn,Fighting,4.71
Astro Boy,83,ps2,Action,4.386265060240964
Astro Boy - The Video Game,31,ps2,Action,4.648064516129033
Astro Fang - Super Machine,23,nes,Action| Driving/Racing,3.867826086956522
Astro Robo Sasa,12,nes,Action| Puzzle,4.17
Astronoka,254,ps_one,|Strategy| Simulation,4.536062992125983
Astyanax,70,nes,Action| Platformer,4.355714285714285
Asuka 120 Burning Fest,35,sega_saturn,Fighting,4.29
Asuka 120% Limited,37,sega_saturn,Fighting,4.78
Atari Anniversary Edition,38,sega_dreamcast,Action| Strategy| Driving/Racing| Simulation,3.7900000000000005
Atari Anthology,227,ps2,Compilation,4.686828193832599
Atelier Iris - Eternal Mana,198,ps2,Adventure| Role-Playing,4.663383838383839
Atelier Iris 2 - The Azoth Of Destiny,124,ps2,Adventure| Role-Playing,4.687741935483871
Atelier Iris 3 - Grand Phantasm,205,ps2,Role-Playing,4.755365853658536
Atelier Marie,7,sega_saturn,Role-Playing,5.0
